anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_d63ba8c9c7,cp_bridge_013,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_9afa716b83,cp_bridge_011,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_cbfee5b57a,cp_bridge_012,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_a7e6993edf,cp_bridge_018,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_539f6d7f64,cp_bridge_001,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_68793a6ad3,cp_bridge_017,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_3ed95edd03,cp_bridge_002,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_48cdd578e6,cp_bridge_007,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_dde51fecf5,cp_bridge_013,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_65deaf972f,cp_bridge_003,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_664ff1df49,cp_bridge_017,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,repair,true,false
resp_ba05e04fc8,cp_bridge_002,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_167c6bc9ee,cp_bridge_004,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_2c2a9a212d,cp_bridge_014,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_b096bfb107,cp_bridge_010,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_b3f184a2f7,cp_bridge_015,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_c86bd4d71e,cp_bridge_008,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_cf2f330d91,cp_bridge_018,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_a818bcfe7e,cp_bridge_007,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_d5008f2379,cp_bridge_005,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_b229e22cd4,cp_bridge_014,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_d5209885c6,cp_bridge_003,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_86220dd8d5,cp_bridge_003,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_70c6f45e10,cp_bridge_001,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_2434198e34,cp_bridge_009,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_667b69336d,cp_bridge_009,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_079a99cc4c,cp_bridge_006,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_2284d489a7,cp_bridge_002,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_71b2c64d28,cp_bridge_004,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_c02bf61d09,cp_bridge_013,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,repair,true,false
resp_e96a35f767,cp_bridge_013,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_d93d9d598a,cp_bridge_018,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_ae7277529c,cp_bridge_006,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_f01560e13d,cp_bridge_007,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_b78d473809,cp_bridge_005,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_7355de29f5,cp_bridge_010,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,repair,true,false
resp_7bde6b7c09,cp_bridge_016,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_4d56e71be2,cp_bridge_007,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_b8b00eb612,cp_bridge_010,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_8840916ae6,cp_bridge_018,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_6bcd7f4234,cp_bridge_020,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_610b88a2b7,cp_bridge_013,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_60101a7a56,cp_bridge_012,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_40161030c1,cp_bridge_005,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_acfac6651f,cp_bridge_012,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_f9a74a46ab,cp_bridge_002,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_bc0cd02067,cp_bridge_010,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_703bdcbbaf,cp_bridge_017,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_1cc8b9b186,cp_bridge_019,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_047e606fca,cp_bridge_018,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_f532d6df91,cp_bridge_004,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_7ab9c65fb1,cp_bridge_010,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_034053d9fe,cp_bridge_006,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_0caa8aaa03,cp_bridge_018,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_745655d5ca,cp_bridge_003,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_168fb91ee8,cp_bridge_016,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_4e9917584f,cp_bridge_005,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_08075e2a09,cp_bridge_002,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_94c87369b8,cp_bridge_018,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_51046a55d5,cp_bridge_012,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_de822f0e74,cp_bridge_019,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_43998e4ad8,cp_bridge_003,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_a192b331e2,cp_bridge_007,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_02c7fedee9,cp_bridge_009,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_89db3651e8,cp_bridge_020,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_8fd35c2d5d,cp_bridge_016,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_aee607cd2d,cp_bridge_019,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_6b2b3ee396,cp_bridge_002,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_7a94dbfc61,cp_bridge_003,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_163385a82c,cp_bridge_001,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_c254272167,cp_bridge_008,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_9823020f09,cp_bridge_014,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_ae2fcfee30,cp_bridge_009,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_4dac207d89,cp_bridge_004,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_b03a4ad24c,cp_bridge_017,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_d67e754a10,cp_bridge_004,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_ba6915b37e,cp_bridge_009,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_7ffc5fb723,cp_bridge_017,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_6a0357cc8e,cp_bridge_010,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_f7943178d8,cp_bridge_011,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_22926b7d08,cp_bridge_010,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_a8d77f812e,cp_bridge_015,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_52b21db732,cp_bridge_001,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_415a86d78f,cp_bridge_005,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_c129849dc5,cp_bridge_015,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
