candidate_turn_id,session_id_hash,student_id_hash,problem_id_hash,is_cp_related,is_substantial_turn,context_sufficiency,rough_bridge_family,surface_anchor,help_seeking_type,likely_slice,candidate_for_deep_annotation,exclusion_reason,privacy_review_status,consent_eligibility,candidate_selection_reason,screening_confidence,screened_by,notes
rs_screen_20260519_001,sess_f3b99cfed77f6ca5,stu_9589f185858ab7f4,prob_ff5e477452170911,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=debugging_bridge; surface_anchor=debugging trace; help_seeking_type=debugging; one-per-session diversity for 30-case deep sample,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_002,sess_f3b99cfed77f6ca5,stu_9589f185858ab7f4,prob_ff5e477452170911,yes,yes,sufficient,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_003,sess_f3b99cfed77f6ca5,stu_9589f185858ab7f4,prob_ff5e477452170911,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_004,sess_ad86782c1f8cfad8,stu_925ad19bad497ce0,prob_0a1afc175b781068,yes,yes,partial,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,yes,,passed,pending,coverage: rough_bridge_family=unclear; surface_anchor=conceptual hint request; help_seeking_type=conceptual_hint; one-per-session diversity for 30-case deep sample,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_005,sess_8f0f590ba377255c,stu_925ad19bad497ce0,prob_0a1afc175b781068,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=debugging_bridge; surface_anchor=debugging trace; help_seeking_type=debugging; one-per-session diversity for 30-case deep sample,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_006,sess_183a0aa98e0f0b5d,stu_925ad19bad497ce0,prob_ff5e477452170911,yes,yes,partial,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,yes,,passed,pending,coverage: rough_bridge_family=unclear; surface_anchor=conceptual hint request; help_seeking_type=conceptual_hint; one-per-session diversity for 30-case deep sample,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_007,sess_f69628f0e1d49f71,stu_925ad19bad497ce0,prob_9177928a1c886d3d,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=debugging_bridge; surface_anchor=debugging trace; help_seeking_type=debugging; one-per-session diversity for 30-case deep sample,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_008,sess_69452fb2590b5b4a,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_009,sess_f69628f0e1d49f71,stu_925ad19bad497ce0,prob_9177928a1c886d3d,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_010,sess_69452fb2590b5b4a,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,data_structure_bridge,data-structure operation,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_011,sess_69452fb2590b5b4a,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_012,sess_69452fb2590b5b4a,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_013,sess_f69628f0e1d49f71,stu_925ad19bad497ce0,prob_9177928a1c886d3d,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_014,sess_34863963d772fe2e,stu_fdff3e566a4a4271,prob_e5ce6c02c6a4ab64,yes,yes,sufficient,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,yes,,passed,pending,coverage: rough_bridge_family=unclear; surface_anchor=conceptual hint request; help_seeking_type=conceptual_hint; one-per-session diversity for 30-case deep sample,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_015,sess_69452fb2590b5b4a,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=debugging_bridge; surface_anchor=debugging trace; help_seeking_type=debugging; one-per-session diversity for 30-case deep sample,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_016,sess_f69628f0e1d49f71,stu_925ad19bad497ce0,prob_9177928a1c886d3d,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_017,sess_f69628f0e1d49f71,stu_925ad19bad497ce0,prob_9177928a1c886d3d,yes,yes,sufficient,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_018,sess_f69628f0e1d49f71,stu_925ad19bad497ce0,prob_9177928a1c886d3d,yes,yes,sufficient,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_019,sess_69452fb2590b5b4a,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_020,sess_f69628f0e1d49f71,stu_925ad19bad497ce0,prob_9177928a1c886d3d,yes,yes,partial,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_021,sess_69452fb2590b5b4a,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,aggregation_contribution_bridge,prefix/difference contribution,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_022,sess_70ac6c42c906165c,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,aggregation_contribution_bridge,prefix/difference contribution,implementation,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=aggregation_contribution_bridge; surface_anchor=prefix/difference contribution; help_seeking_type=implementation; one-per-session diversity for 30-case deep sample,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_023,sess_70ac6c42c906165c,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,aggregation_contribution_bridge,prefix/difference contribution,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_024,sess_2e840d14948f6def,stu_e8d61ca1e8d38a6d,prob_e5ce6c02c6a4ab64,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=debugging_bridge; surface_anchor=debugging trace; help_seeking_type=debugging; one-per-session diversity for 30-case deep sample,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_025,sess_d53bbd94981add8e,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_026,sess_d53bbd94981add8e,stu_d8240700d7b4a573,prob_ff5e477452170911,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=implementation_bridge; surface_anchor=implementation boundary; help_seeking_type=implementation; one-per-session diversity for 30-case deep sample,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_027,sess_4eb415d670f046d1,stu_a449c196f0b55660,prob_d115d0e01d0a0f4f,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=debugging_bridge; surface_anchor=debugging trace; help_seeking_type=debugging; one-per-session diversity for 30-case deep sample,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_028,sess_123b46fc8eff847a,stu_4b2d444c6851750d,prob_b807a713f7bfb63b,yes,yes,partial,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=implementation_bridge; surface_anchor=implementation boundary; help_seeking_type=implementation; one-per-session diversity for 30-case deep sample,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_029,sess_4752c5a7e56ea5fb,stu_b531e3ef57c1904a,prob_b8897aede85aa2a0,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=implementation_bridge; surface_anchor=implementation boundary; help_seeking_type=implementation; one-per-session diversity for 30-case deep sample,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_030,sess_ffb08028d21ee163,stu_b531e3ef57c1904a,prob_b8897aede85aa2a0,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_031,sess_a19c0fc9d24382ff,stu_a449c196f0b55660,prob_068410236aed77d1,yes,yes,sufficient,policy_bridge,direct-answer / code request,code_request,policy_safety_slice,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_032,sess_541298f3ba0f2039,stu_28310c7c6f47decf,prob_36845b05fe98edf2,yes,yes,sufficient,data_structure_bridge,tree / graph traversal,conceptual_hint,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=data_structure_bridge; surface_anchor=tree / graph traversal; help_seeking_type=conceptual_hint; one-per-session diversity for 30-case deep sample,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_033,sess_a19c0fc9d24382ff,stu_a449c196f0b55660,prob_068410236aed77d1,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_034,sess_ffb08028d21ee163,stu_b531e3ef57c1904a,prob_b8897aede85aa2a0,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_035,sess_ffb08028d21ee163,stu_b531e3ef57c1904a,prob_b8897aede85aa2a0,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
