scenario,slice,first,second,n,mean_delta_overall,bootstrap_ci95_low,bootstrap_ci95_high,sign_flip_permutation_p,wins,ties,losses,ready_delta,safe_ready_delta,critical_leak_delta
coach_A_only,main_scaffold_eval,bridge_contract_compact_guard_repair,dbox_inspired_guard,31,0.25806451612903225,-0.16129032258064516,0.6774193548387096,0.3063346832658367,14,9,8,-1,-1,-2
coach_A_only,main_scaffold_eval,bridge_contract_compact_guard_repair,bridge_contract_compact_guard,31,-0.06451612903225806,-0.41935483870967744,0.2903225806451613,0.855657217139143,7,16,8,-2,-2,-3
coach_A_only,main_scaffold_eval,bridge_contract_compact_guard_repair,dbox_inspired_clean,31,0.1935483870967742,-0.16129032258064516,0.5161290322580645,0.36368181590920456,12,13,6,0,0,-3
coach_A_only,main_scaffold_eval,dbox_inspired_guard,dbox_inspired_clean,31,-0.06451612903225806,-0.41935483870967744,0.2903225806451613,0.8584570771461427,7,14,10,1,1,-1
coach_A_only,main_scaffold_eval,codehelp_codeaid_clean,enhanced_prompt_only_clean,31,0.4838709677419355,0.0967741935483871,0.8709677419354839,0.03719814009299535,16,10,5,10,10,-9
coach_A_only,main_scaffold_eval,bridge_contract_compact_guard,dbox_inspired_guard,31,0.3225806451612903,0.0,0.6451612903225806,0.08664566771661417,13,12,6,1,1,1
coach_B_only,main_scaffold_eval,bridge_contract_compact_guard_repair,dbox_inspired_guard,31,0.03225806451612903,-0.1935483870967742,0.25806451612903225,1.0,7,18,6,-1,-1,-1
coach_B_only,main_scaffold_eval,bridge_contract_compact_guard_repair,bridge_contract_compact_guard,31,0.0967741935483871,-0.16129032258064516,0.3548387096774194,0.6359182040897955,8,17,6,2,2,0
coach_B_only,main_scaffold_eval,bridge_contract_compact_guard_repair,dbox_inspired_clean,31,0.06451612903225806,-0.1935483870967742,0.3225806451612903,0.8088595570221488,7,18,6,0,0,-1
coach_B_only,main_scaffold_eval,dbox_inspired_guard,dbox_inspired_clean,31,0.03225806451612903,-0.25806451612903225,0.3225806451612903,1.0,9,14,8,1,1,0
coach_B_only,main_scaffold_eval,codehelp_codeaid_clean,enhanced_prompt_only_clean,31,0.03225806451612903,-0.2903225806451613,0.3548387096774194,1.0,7,15,9,-3,-3,-2
coach_B_only,main_scaffold_eval,bridge_contract_compact_guard,dbox_inspired_guard,31,-0.06451612903225806,-0.3548387096774194,0.22580645161290322,0.8377081145942703,5,18,8,-3,-3,-1
priority60_adjudicated_plus_coachA,main_scaffold_eval,bridge_contract_compact_guard_repair,dbox_inspired_guard,31,0.2903225806451613,-0.0967741935483871,0.6451612903225806,0.2015899205039748,14,10,7,-1,-1,-2
priority60_adjudicated_plus_coachA,main_scaffold_eval,bridge_contract_compact_guard_repair,bridge_contract_compact_guard,31,0.06451612903225806,-0.22580645161290322,0.3548387096774194,0.832208389580521,7,18,6,-1,-1,0
priority60_adjudicated_plus_coachA,main_scaffold_eval,bridge_contract_compact_guard_repair,dbox_inspired_clean,31,0.2903225806451613,-0.03225806451612903,0.6129032258064516,0.13579321033948302,12,14,5,1,1,-2
priority60_adjudicated_plus_coachA,main_scaffold_eval,dbox_inspired_guard,dbox_inspired_clean,31,0.0,-0.3548387096774194,0.3548387096774194,1.0,7,15,9,2,2,0
priority60_adjudicated_plus_coachA,main_scaffold_eval,codehelp_codeaid_clean,enhanced_prompt_only_clean,31,0.6774193548387096,0.25806451612903225,1.064516129032258,0.004599770011499425,18,10,3,12,12,-7
priority60_adjudicated_plus_coachA,main_scaffold_eval,bridge_contract_compact_guard,dbox_inspired_guard,31,0.22580645161290322,-0.06451612903225806,0.5483870967741935,0.2359882005899705,12,12,7,0,0,-2
priority60_adjudicated_plus_coachB,main_scaffold_eval,bridge_contract_compact_guard_repair,dbox_inspired_guard,31,0.03225806451612903,-0.22580645161290322,0.2903225806451613,1.0,7,17,7,0,0,-2
priority60_adjudicated_plus_coachB,main_scaffold_eval,bridge_contract_compact_guard_repair,bridge_contract_compact_guard,31,0.03225806451612903,-0.22580645161290322,0.2903225806451613,1.0,7,17,7,0,0,0
priority60_adjudicated_plus_coachB,main_scaffold_eval,bridge_contract_compact_guard_repair,dbox_inspired_clean,31,0.0967741935483871,-0.12903225806451613,0.3225806451612903,0.5847707614619269,8,18,5,0,0,-2
priority60_adjudicated_plus_coachB,main_scaffold_eval,dbox_inspired_guard,dbox_inspired_clean,31,0.06451612903225806,-0.1935483870967742,0.3225806451612903,0.8177091145442728,9,16,6,0,0,0
priority60_adjudicated_plus_coachB,main_scaffold_eval,codehelp_codeaid_clean,enhanced_prompt_only_clean,31,0.25806451612903225,-0.06451612903225806,0.6129032258064516,0.2207889605519724,10,16,5,1,1,-7
priority60_adjudicated_plus_coachB,main_scaffold_eval,bridge_contract_compact_guard,dbox_inspired_guard,31,0.0,-0.25806451612903225,0.25806451612903225,1.0,7,16,8,0,0,-2
