scenario,condition,overall,show_yes,ready,safe_ready,major_answer,minor,rank1,adjudicated_rows
coach_A_only,enhanced_prompt_only_clean,3.16,14,14,14,18,17,2,0
coach_A_only,codehelp_codeaid_clean,3.64,31,31,31,3,9,3,0
coach_A_only,dbox_inspired_clean,3.68,31,31,31,4,9,10,0
coach_A_only,dbox_inspired_guard,3.7,33,33,33,2,10,8,0
coach_A_only,bridge_guided_dbox_style_guard,3.68,29,29,29,3,15,6,0
coach_A_only,bridge_contract_compact_guard,3.9,33,33,33,4,11,5,0
coach_A_only,bridge_contract_compact_guard_repair,3.96,37,37,37,1,7,16,0
coach_B_only,enhanced_prompt_only_clean,3.18,17,17,17,4,0,7,0
coach_B_only,codehelp_codeaid_clean,3.1,10,10,10,1,0,4,0
coach_B_only,dbox_inspired_clean,3.2,15,15,15,3,0,10,0
coach_B_only,dbox_inspired_guard,3.22,16,16,16,1,0,10,0
coach_B_only,bridge_guided_dbox_style_guard,3.14,12,12,12,2,0,7,0
coach_B_only,bridge_contract_compact_guard,3.1,9,9,9,1,1,6,0
coach_B_only,bridge_contract_compact_guard_repair,3.24,14,14,14,1,1,6,0
priority60_adjudicated_plus_coachA,enhanced_prompt_only_clean,3.12,14,14,14,13,19,2,21
priority60_adjudicated_plus_coachA,codehelp_codeaid_clean,3.6,30,30,30,2,9,3,7
priority60_adjudicated_plus_coachA,dbox_inspired_clean,3.74,33,33,33,3,10,10,10
priority60_adjudicated_plus_coachA,dbox_inspired_guard,3.72,34,34,34,2,8,8,5
priority60_adjudicated_plus_coachA,bridge_guided_dbox_style_guard,3.66,29,29,29,3,15,6,4
priority60_adjudicated_plus_coachA,bridge_contract_compact_guard,3.86,33,33,32,0,14,5,9
priority60_adjudicated_plus_coachA,bridge_contract_compact_guard_repair,4.02,39,39,39,0,7,16,4
priority60_adjudicated_plus_coachB,enhanced_prompt_only_clean,3.02,13,13,13,13,3,7,21
priority60_adjudicated_plus_coachB,codehelp_codeaid_clean,3.14,11,11,11,2,0,4,7
priority60_adjudicated_plus_coachB,dbox_inspired_clean,3.32,18,18,18,3,1,10,10
priority60_adjudicated_plus_coachB,dbox_inspired_guard,3.3,17,17,17,2,0,10,5
priority60_adjudicated_plus_coachB,bridge_guided_dbox_style_guard,3.22,15,15,15,3,0,7,4
priority60_adjudicated_plus_coachB,bridge_contract_compact_guard,3.28,14,14,13,0,3,6,9
priority60_adjudicated_plus_coachB,bridge_contract_compact_guard_repair,3.34,17,17,17,0,1,6,4
